label,include,freq,fixfreq,freqerr,amp,fixamp,amperr,phase,brute,fixphase,phaseerr
f0,True,4.680054693825118,False,7.995493014144829e-07,0.005590760802050001,False,2.361138866877464e-07,0.7591148879309912,False,False,6.868219199598793e-06
f1,True,0.3355176984168495,False,1.3610441737462394e-06,0.0033648872980656355,False,2.2335513508109016e-07,0.5659399955814024,False,False,1.065157531247884e-05
f10,True,1.5122247959372637,False,4.3575988504140164e-06,0.0010702427290429453,False,2.259365364172309e-07,0.3023501924203629,False,False,3.386504431813702e-05
f11,True,1.8476129618553565,False,5.682664633319148e-06,0.0008206569420156728,False,2.2581201962103783e-07,0.40283575157991436,False,False,4.423041740580556e-05
f12,True,2.014230662713569,False,5.961017589049933e-06,0.0007752173852511702,False,2.2534642508145703e-07,0.991451578664055,False,False,4.68538002056127e-05
f13,True,5.315929999787686,False,6.184870235082024e-06,0.000722716677558985,False,2.4047934678821154e-07,0.6658142749147373,False,False,5.45315963148893e-05
f14,True,2.1782315512623835,False,6.657855773835295e-06,0.0006841206589600582,False,2.2662834543197642e-07,0.8841582318827932,False,False,5.300627564355875e-05
f2,True,0.6727263929655987,False,1.6925340694614264e-06,0.002777765177518295,False,2.237427328121081e-07,0.3569033217111155,False,False,1.2991273939990292e-05
f3,True,0.5082119402854962,False,1.6814559430601854e-06,0.0027883834941337077,False,2.2442607489761427e-07,0.8532477039852893,False,False,1.2872091435694587e-05
f4,True,0.17237421799580815,False,2.0001661383949068e-06,0.002218265264899789,False,2.2947433899911778e-07,0.7406213249031453,False,False,1.56864725893625e-05
f5,True,1.3433290978622294,False,2.2927217899566774e-06,0.0020534105495807406,False,2.243975570615181e-07,0.00889089264364884,False,False,1.7665918626105754e-05
f6,True,1.007720525296308,False,2.35470564830728e-06,0.0019739649018830747,False,2.246018321499465e-07,0.42216524712557657,False,False,1.825282276336534e-05
f7,True,0.8396958170908317,False,2.980111063942742e-06,0.0015346162347848137,False,2.2530005492658885e-07,0.18679189782574213,False,False,2.34149141419736e-05
f8,True,1.175836402612015,False,3.6884318455394574e-06,0.001279734107121627,False,2.2440171563550036e-07,0.5483126182916749,False,False,2.836837637537576e-05
f9,True,1.6806181354854466,False,4.366009097138327e-06,0.0010649133448032621,False,2.2588934809848384e-07,0.629435965131961,False,False,3.411736215271005e-05
