label,include,freq,fixfreq,freqerr,amp,fixamp,amperr,phase,brute,fixphase,phaseerr
f0,True,4.678063607168428,False,2.1049346172316034e-06,0.0033082919081228518,False,2.746612157092744e-07,0.41076697858807165,False,False,1.3370146174441882e-05
f1,True,0.1100879729524327,False,0.08730431584255811,0.24518292880475126,False,150.24665064883942,0.5982453405770229,False,False,0.1422076044018757
f10,True,5.3206807629814,False,1.0621629505268193e-05,0.0006490629842262073,False,2.765235360676839e-07,0.0016065704803622793,False,False,6.869849011956036e-05
f11,True,1.175777116627446,False,1.0627612728852108e-05,0.0006791374288368764,False,2.8080762235416214e-07,0.4199339969190987,False,False,6.488672585231035e-05
f12,True,1.515244624591172,False,1.103468919214775e-05,0.0006641125331071651,False,2.7639407318225916e-07,0.3921916511476411,False,False,6.590678470875146e-05
f13,True,1.678252727152535,False,1.1483475561349438e-05,0.0006320816418592565,False,2.7473060226514644e-07,0.8437295271583025,False,False,6.949479660736174e-05
f14,True,0.05100152281888317,False,0.0002870519336738395,0.0011204278999211287,False,1.870159920503834e-05,0.005495446225708633,False,False,0.0014431439233331298
f15,True,4.34950511386238,False,1.4118883720696585e-05,0.0004924030687470808,False,2.745562709857412e-07,0.043952815809461754,False,False,8.918605270229588e-05
f16,True,1.8459139475202988,False,1.429251324541884e-05,0.0005041484841633489,False,2.7308012777200705e-07,0.7464944353823739,False,False,8.680570040241137e-05
f17,True,2.0142450543537516,False,1.531088012407714e-05,0.0004633967682487452,False,2.721146938868239e-07,0.5032401130561084,False,False,9.473080707213293e-05
f18,True,2.197140920429687,False,1.6565294302567998e-05,0.0004242333127329841,False,2.7360938794740294e-07,0.33209099398573017,False,False,0.00010263174513800169
f19,True,0.4004657747040583,False,2.047885613967232e-05,0.0005341539986601587,False,3.641344945357268e-07,0.20389224188932076,False,False,9.86428377417392e-05
f2,True,0.3402393882989552,False,4.457034191280582e-06,0.0019319163654102538,False,3.5468290823901233e-07,0.3652074938181613,False,False,3.5362482595933326e-05
f20,True,9.358694761363909,False,1.9924493544703957e-05,0.0003453870898663708,False,3.0057426601077237e-07,0.3703497547794541,False,False,0.0001434488512704326
f21,True,6.6821159857294115,False,2.2294337766378018e-05,0.00031038976472568376,False,2.8190140835418336e-07,0.9439663203374948,False,False,0.00014779317089698703
f22,True,0.8798081090544078,False,3.264737186904484e-05,0.00040164067915414735,False,3.6669196254734976e-07,0.13704694126681716,False,False,0.00016462031669673907
f23,True,2.5273685169035143,False,2.494024830762534e-05,0.00028598516292261593,False,2.7315463721961745e-07,0.5176251994271297,False,False,0.0001529836838896596
f24,True,3.8651658887176117,False,2.7326436588596366e-05,0.0002546228538311591,False,2.732509551844121e-07,0.8617174901601174,False,False,0.00017220708058311336
f25,True,2.6773347701109906,False,3.072622785471157e-05,0.00023019628965997786,False,2.7540337448914813e-07,0.5002986614535985,False,False,0.0001893140507492133
f3,True,0.6758062472077946,False,4.858167438999235e-06,0.00164704402740121,False,2.9434877348733785e-07,0.7607959625270269,False,False,2.8486327271324693e-05
f4,True,1.0100094750886164,False,5.426542001286594e-06,0.001461723191659146,False,2.819326038652759e-07,0.387718189463385,False,False,3.069578482758496e-05
f5,True,1.3442414319080223,False,6.633081749259943e-06,0.0011063264909554169,False,2.785832173172209e-07,0.9437438012087114,False,False,3.957906556101818e-05
f6,True,0.11037123175357684,False,0.08638257698788919,0.24488559884064193,False,150.24417756887894,0.6333228048538615,False,False,0.14240842590187053
f7,True,0.5095776379540266,False,9.958784576224396e-06,0.0008903840118804795,False,3.1043316095287425e-07,0.6794303839581062,False,False,5.62772135190405e-05
f8,True,0.20592211409821057,False,7.164337108804146e-05,0.0011507196792382305,False,2.0718781593418728e-06,0.7576653836811147,False,False,6.730386225477823e-05
f9,True,0.8365624314275338,False,1.5831133197986825e-05,0.0008364220083476604,False,3.6936055653522606e-07,0.013384449442128243,False,False,8.106462916497447e-05
f26,True,3.4764497197053403,False,2.961858617429907e-05,0.0002352015639160235,False,2.677847566901573e-07,0.20772991820558673,False,False,0.00018188398149088868
