label,include,freq,fixfreq,freqerr,amp,fixamp,amperr,phase,brute,fixphase,phaseerr
f0,True,4.678196202546573,False,1.501212781417271e-06,0.0033466247872950316,False,2.44569064593585e-07,0.19215854628419038,False,False,1.179719712361983e-05
f1,True,0.34680168698829994,False,7.576801853698844e-06,0.0018949563695817575,False,5.978241797106452e-07,0.6101371751403804,False,False,4.050546844756989e-05
f10,True,1.1749522953372011,False,7.066781299037163e-06,0.0007433675053267863,False,2.474955645666757e-07,0.7815764386025421,False,False,5.2031428712190365e-05
f11,True,5.321923878224459,False,8.085503350676418e-06,0.0006157981705964872,False,2.471350051837277e-07,0.9584173394505342,False,False,6.447459113254323e-05
f12,True,0.1754534416520081,False,0.00011523043634316025,0.0008784462027643034,False,4.384098668538749e-06,0.8595972420023941,False,False,0.0010016290790306396
f13,True,1.5121561738994962,False,7.303929170831544e-06,0.0007113401708569425,False,2.466392208464779e-07,0.47482840659313297,False,False,5.442664334482006e-05
f14,True,1.6793168895856565,False,9.19496125847156e-06,0.0005651924264277071,False,2.456081951741028e-07,0.09395819964083785,False,False,6.865582425320181e-05
f15,True,2.0169711109549273,False,1.0132120766710838e-05,0.0005138860195982284,False,2.425632579187713e-07,0.026048287754747435,False,False,7.532059071483839e-05
f16,True,1.846605718228306,False,1.0369013103954552e-05,0.0005002129912978775,False,2.4474392613670774e-07,0.6125229357053286,False,False,7.72612897861346e-05
f17,True,4.346721921413752,False,1.0571532730167139e-05,0.0004736150984340143,False,2.443511236044638e-07,0.6250895417451829,False,False,8.28998295852877e-05
f18,True,0.4366745157752261,False,1.2219511837147938e-05,0.0005406394932488877,False,3.2702208111252457e-07,0.4406485722239495,False,False,9.876117052479289e-05
f19,True,0.22341926543778812,False,6.180145797408616e-05,0.0009189516482485138,False,1.2092872971259445e-06,0.0029665240344343147,False,False,0.00016098294867218844
f2,True,0.6799103125578044,False,3.512321840780823e-06,0.0015404431604996523,False,2.5750299112642175e-07,0.009418443878303151,False,False,2.5920890612926533e-05
f20,True,0.299407130285427,False,3.796060770753197e-05,0.0008073845181564773,False,4.0881227617219017e-07,0.4292578317619018,False,False,6.710069052129122e-05
f3,True,0.11388259618373606,False,0.04249406372971837,13.13944657948859,False,5956.461665054049,0.5978659249392422,False,False,0.10952347385278717
f4,True,1.0096340478246464,False,3.4031740851791998e-06,0.0015484466376250769,False,2.504843249545668e-07,0.9984210924546915,False,False,2.509367871420273e-05
f5,True,0.1133342914132126,False,0.04370245447879562,13.133841937791276,False,6013.632877453418,0.4958537524272799,False,False,0.11110317340286877
f6,True,0.5104223076039721,False,4.133758562032314e-06,0.0014538236139836943,False,3.142662651792037e-07,0.30423328823110296,False,False,3.052898718392361e-05
f7,True,1.3446578158137081,False,4.679898897616804e-06,0.0011135570727963907,False,2.472064668308809e-07,0.25953684344040084,False,False,3.467056080757023e-05
f8,True,0.8395273404357099,False,5.315266702490932e-06,0.0010044297703989064,False,2.5263836835479963e-07,0.14893600894288284,False,False,3.9016137041038226e-05
f9,True,0.1136086732203626,False,0.08088280624493022,26.27161563067041,False,2855.955358528393,0.5464862068322986,False,False,0.20710016233462833
f21,True,2.1822900091041872,False,1.3377198087425722e-05,0.0003801028500548244,False,2.4242891029163455e-07,0.7708503602989367,False,False,0.0001001592379121294
