	flux	flux_err	time
1	1.0008940696716309	3.879146242979914e-06	3097.7011602424504
2	1.0012723207473755	3.877687898542111e-06	3097.7425816302275
3	1.0064624547958374	3.88758271583356e-06	3097.7840030180046
4	1.0131820440292358	3.967583952230755e-06	3097.8254244057816
5	1.0093376636505127	3.894526162184775e-06	3097.8668457935587
6	1.000981092453003	3.8794974292007584e-06	3097.9082671813358
7	0.9992791414260864	3.876495611621067e-06	3097.949688569113
8	1.0054103136062622	3.8877144106663765e-06	3097.99110995689
9	1.013103723526001	3.9684615832560795e-06	3098.0325313446633
10	1.0088231563568115	3.894048131769523e-06	3098.0739527324363
11	1.0016944408416748	3.881196607835591e-06	3098.1153741202133
12	1.0007389783859253	3.879478026647121e-06	3098.1567955079904
13	1.0038793087005615	3.885266535993045e-06	3098.1982168957675
14	1.0098806619644165	3.89625784009695e-06	3098.2396382835445
15	1.0080217123031616	3.9595831587011445e-06	3098.2810596713216
16	1.001672387123108	3.8816777911658084e-06	3098.3224810590987
17	0.999606192111969	3.877863976716374e-06	3098.3639024468753
18	1.0014811754226685	3.881192242261022e-06	3098.4053238346523
19	1.0068272352218628	3.89092238037847e-06	3098.4467452224294
20	1.0076862573623657	3.892698441632092e-06	3098.4881666102065
21	1.0021653175354004	3.949338610380374e-06	3098.529587997983
22	0.9987772107124329	3.8769319265459975e-06	3098.57100938576
23	0.999390184879303	3.878067703529571e-06	3098.612430773537
24	1.0038670301437378	3.886250730526323e-06	3098.6538521613143
25	1.0052837133407593	3.8888872950337826e-06	3098.6952735490872
26	1.0004246234893799	3.946570986640993e-06	3098.7366949368607
27	0.9964383840560913	3.873070575840151e-06	3098.7781163246377
28	0.9958179593086243	3.871932131005451e-06	3098.8195377124143
29	1.0005735158920288	3.880542741777996e-06	3098.8609591001914
30	1.0043306350708008	3.8873697728073845e-06	3098.9023804879685
31	0.9991552233695984	3.878100930402676e-06	3098.943801875745
32	0.9884912967681885	3.924865048812253e-06	3098.985223263522
33	0.9811827540397644	3.845680718465398e-06	3099.0266446512987
34	0.9831829071044922	3.849449664509545e-06	3099.068066039076
35	0.9872719049453735	3.857002351044988e-06	3099.109487426853
36	0.983794093132019	3.850860715222856e-06	3099.1509088146295
37	0.9795604944229126	3.843220959727963e-06	3099.1923302024065
38	0.979195773601532	3.908119056020574e-06	3099.233751590183
39	0.9842838048934937	3.851582247686262e-06	3099.27517297796
40	0.9987968802452087	3.877889442568024e-06	3099.316594365737
41	1.004136562347412	3.887690400006249e-06	3099.3580157535102
42	0.9979642033576965	3.876652044709772e-06	3099.399437141283
43	0.9960136413574219	3.939205961269808e-06	3099.4408585290603
44	1.000013828277588	3.88006737921387e-06	3099.482279916837
45	1.0070679187774658	3.892793756676838e-06	3099.523701304614
46	1.004824161529541	3.888879776544248e-06	3099.5651226923906
47	0.9978969693183899	3.876551393962775e-06	3099.6065440801676
48	0.9961704015731812	3.873606813916316e-06	3099.6479654679442
49	1.0003429651260376	3.947549728387645e-06	3099.6893868557213
50	1.007195234298706	3.893441801968341e-06	3099.730808243498
51	1.0063323974609375	3.891900511613736e-06	3099.7722296312745
52	1.0006964206695557	3.881798329530284e-06	3099.8136510190516
53	0.9993850588798523	3.879437038752561e-06	3099.855072406828
54	1.0018894672393799	3.883905689387272e-06	3099.8964937946052
55	1.0075281858444214	3.960585735481361e-06	3099.937915182382
56	1.007564902305603	3.894183707113067e-06	3099.9793365701585
57	1.0007573366165161	3.882051047791416e-06	3100.020757957932
58	0.9984996914863586	3.878009980932499e-06	3100.062179345705
59	1.0004117488861084	3.8813906333719695e-06	3100.1036007334815
60	1.0050086975097656	3.956047294195741e-06	3100.1450221212585
61	1.0071526765823364	3.893272999751692e-06	3100.186443509035
62	1.0023518800735474	3.884600785871347e-06	3100.2278648968118
63	0.9987705945968628	3.878153559829419e-06	3100.2692862845884
64	0.9979979395866394	3.876839764416218e-06	3100.3107076723654
65	1.0023828744888306	3.8848328889192395e-06	3100.352129060142
66	1.007423996925354	3.9604685674742635e-06	3100.3935504479186
67	1.0035245418548584	3.886879130732268e-06	3100.4349718356957
68	0.9971597790718079	3.8754311390221116e-06	3100.4763932234723
69	0.9958264231681824	3.873124660458415e-06	3100.517814611249
70	1.000427484512329	3.881482795501749e-06	3100.5592359990255
71	1.0065208673477173	3.958968465730291e-06	3100.600657386802
72	1.0040761232376099	3.887942633203542e-06	3100.642078774579
73	0.9983611702919006	3.8776527314136425e-06	3100.683500162352
74	0.9962822794914246	3.873880389922609e-06	3100.724921550125
75	1.0001591444015503	3.880789396741117e-06	3100.7663429379018
76	1.0070847272872925	3.893277607858181e-06	3100.8077643256784
77	1.0062785148620605	3.958370833625567e-06	3100.849185713455
78	0.99909508228302	3.8789444564220805e-06	3100.890607101232
79	0.9952580332756042	3.872001495134707e-06	3100.9320284890086
80	0.9977405071258545	3.876361976532886e-06	3100.9734498767853
81	1.005731225013733	3.890667964393894e-06	3101.014871264562
82	1.007529616355896	3.893911828830217e-06	3101.0562926523385
83	1.0001391172409058	3.947060232066774e-06	3101.097714040115
84	0.996673047542572	3.874541046873977e-06	3101.1391354278917
85	0.9990055561065674	3.878741214672724e-06	3101.1805568156683
86	1.0054444074630737	3.8902888870021945e-06	3101.221978203445
87	1.0076228380203247	3.894309581179793e-06	3101.2633995912215
88	1.0014777183532715	3.94964495328544e-06	3101.304820978998
89	0.9969332814216614	3.874876468519991e-06	3101.3462423667747
90	0.9982398748397827	3.876984070908899e-06	3101.387663754548
91	1.0042258501052856	3.887707619772603e-06	3101.429085142321
